BoardName;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
ALCOA CORP;27638;16347;01387210;AA;31/12/2019;4;4;4;1;1;1,09;0,11;-0,23;0,13;0,6;2,13
ABBOTT LABORATORIES;1078;20482;00282410;ABT;31/12/2019;6;3;1;0,5;0,166666667;0,21;0,12;0,11;0,1;0,54;1,18
ARCHER-DANIELS-MIDLAND CO;1722;10516;03948310;ADM;31/12/2019;6;4;1;0,666666667;0,166666667;0,79;0,06;0,07;0,06;0,56;1,29
AMERICAN ELECTRIC POWER CO INC;1440;24109;02553710;AEP;31/12/2019;8;7;8;0,875;1;0,59;0,07;0,07;0,05;0,74;2,84
AMERICAN INTERNATIONAL GROUP INC (AIG);1487;66800;02687478;AIG;31/12/2019;8;8;4;1;0,5;1,46;0,02;0,05;0,07;0,87;6,97
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2019;6;4;4;0,666666667;0,666666667;0,68;0,05;0,08;0,1;0,87;6,5
AKAMAI TECHNOLOGIES INC;125595;87299;00971T10;AKAM;31/12/2019;7;6;3;0,857142857;0,428571429;0,26;0,16;0,14;0,11;0,48;0,92
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2019;4;4;3;1;0,75;0,69;0,06;0,22;0,23;0,78;3,6
ALTAIR ENGINEERING INC;32530;17034;02136910;ALTR;31/12/2019;3;2;1;0,666666667;0,333333333;0,14;0,05;-0,02;0,02;0,52;1,08
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2019;4;4;3;1;0,75;0,28;0,02;0,33;0,21;0,96;25,5
AMAZON.COM INC;64768;84788;02313510;AMZN;31/12/2019;4;4;4;1;1;0,07;0,15;0,22;0,12;0,72;2,63
AUTONATION INC;9063;76282;05329W10;AN;31/12/2019;6;5;5;0,833333333;0,833333333;0,76;0,09;0,15;0,09;0,7;2,33
APA CORP (Apache Corp prior to 03/2021);1678;39490;03741110;APA;31/12/2019;5;4;5;0,8;1;0,37;0,05;-0,64;-0,19;0,72;4,02
AMPHENOL CORP;14282;84769;03209510;APH;31/12/2019;6;5;4;0,833333333;0,666666667;0,15;0,19;0,25;0,2;0,58;1,37
ATI INC (Allegheny Technologies Inc prior to 07/2022);10405;43123;01741R10;ATI;31/12/2019;6;5;2;0,833333333;0,333333333;0,81;0,1;0,13;0,11;0,61;1,65
BOEING CO;2285;19561;09702310;BA;31/12/2019;8;7;4;0,875;0,5;;0,06;;0,35;1,06;-16,47
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2019;8;8;8;1;1;0,78;0,02;0,11;0,07;0,89;8,19
BAXTER INTERNATIONAL INC;2086;27887;07181310;BAX;31/12/2019;6;5;4;0,833333333;0,666666667;0,19;0,16;0,12;0,15;0,57;1,3
BIOGEN INC (Biogen Idec Inc prior to 03/2015);24468;76841;09062X10;BIIB;31/12/2019;6;4;5;0,666666667;0,833333333;0,31;0,3;0,38;0,39;0,51;1,04
BANK OF NEW YORK MELLON CORP (THE);2019;49656;06405810;BK;31/12/2019;6;6;3;1;0,5;0,89;0,02;0,11;0,09;0,89;8,19
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2019;7;5;6;0,714285714;0,857142857;0,48;0,04;0,12;0,15;0,79;3,99
BRISTOL-MYERS SQUIBB CO;2403;19393;11012210;BMY;31/12/2019;6;6;6;1;1;0,4;0,1;0,1;0,11;0,6;1,52
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2019;5;5;5;1;1;0,23;0,12;0,4;0,1;0,55;1,2
PEABODY ENERGY CORP;142460;16689;70455110;BTU;31/12/2019;4;4;3;1;0,75;2,99;0,1;-0,07;0;0,59;1,48
BORGWARNER INC;28742;79545;09972410;BWA;31/12/2019;5;3;3;0,6;0,6;0,54;0,17;0,16;0,19;0,5;1,03
